OpenJDK 64-Bit Server VM (25.342-b07) for windows-amd64 JRE (1.8.0_342-b07), built on Jul 21 2022 18:16:14 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 33393912k(19527928k free), swap 35491064k(15378820k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=33554432 -XX:+ManagementServer -XX:MaxHeapSize=33554432 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.304: [GC (Allocation Failure) 0.304: [DefNew: 8704K->1088K(9792K), 0.0028131 secs] 8704K->1623K(31680K), 0.0029136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.392: [GC (Allocation Failure) 0.392: [DefNew: 9792K->1088K(9792K), 0.0036624 secs] 10327K->3059K(31680K), 0.0036989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.450: [GC (Allocation Failure) 0.450: [DefNew: 9792K->1088K(9792K), 0.0018320 secs] 11763K->3927K(31680K), 0.0018624 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.504: [GC (Allocation Failure) 0.504: [DefNew: 9792K->1008K(9792K), 0.0015799 secs] 12631K->4185K(31680K), 0.0016234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.562: [GC (Allocation Failure) 0.562: [DefNew: 9705K->1087K(9792K), 0.0018779 secs] 12881K->4819K(31680K), 0.0019090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.610: [GC (Allocation Failure) 0.610: [DefNew: 9791K->994K(9792K), 0.0020867 secs] 13523K->5265K(31680K), 0.0021207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.633: [GC (Allocation Failure) 0.633: [DefNew: 9696K->1087K(9792K), 0.0016291 secs] 13967K->5860K(31680K), 0.0016613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.661: [GC (Allocation Failure) 0.661: [DefNew: 9791K->1087K(9792K), 0.0021122 secs] 14564K->6242K(31680K), 0.0021500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.689: [GC (GCLocker Initiated GC) 0.689: [DefNew: 9791K->1087K(9792K), 0.0022198 secs] 14947K->6567K(31680K), 0.0022622 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.762: [GC (Allocation Failure) 0.762: [DefNew: 9791K->1088K(9792K), 0.0020868 secs] 15271K->7134K(31680K), 0.0021239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.814: [GC (Allocation Failure) 0.814: [DefNew: 9792K->1088K(9792K), 0.0027681 secs] 15838K->7773K(31680K), 0.0028056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.864: [GC (Allocation Failure) 0.864: [DefNew: 9792K->956K(9792K), 0.0023444 secs] 16477K->8290K(31680K), 0.0023874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.918: [GC (Allocation Failure) 0.918: [DefNew: 9660K->1011K(9792K), 0.0020071 secs] 16994K->8751K(31680K), 0.0020409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.949: [Full GC (Metadata GC Threshold) 0.949: [Tenured: 7739K->7881K(21888K), 0.0125422 secs] 15047K->7881K(31680K), [Metaspace: 20310K->20310K(1067008K)], 0.0125898 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.001: [GC (Allocation Failure) 1.001: [DefNew: 8704K->1076K(9792K), 0.0015155 secs] 16585K->8957K(31680K), 0.0015440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.049: [GC (Allocation Failure) 1.049: [DefNew: 9780K->1088K(9792K), 0.0032361 secs] 17661K->9434K(31680K), 0.0032750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.099: [GC (Allocation Failure) 1.099: [DefNew: 9792K->995K(9792K), 0.0027195 secs] 18138K->9979K(31680K), 0.0027590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.144: [GC (Allocation Failure) 1.144: [DefNew: 9699K->1087K(9792K), 0.0023504 secs] 18683K->10979K(31680K), 0.0023878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.195: [GC (Allocation Failure) 1.195: [DefNew: 9791K->919K(9792K), 0.0029353 secs] 19683K->11363K(31680K), 0.0029711 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.248: [GC (Allocation Failure) 1.248: [DefNew: 9623K->1088K(9792K), 0.0028855 secs] 20067K->12122K(31680K), 0.0029210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.295: [GC (Allocation Failure) 1.295: [DefNew: 9792K->1087K(9792K), 0.0033751 secs] 20826K->13005K(31680K), 0.0034491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
